Artist,Album,Song,Length,Tempo,Key,Start In Playlist
Hudson Mohawke,Ded Sec - Watch Dogs 2,W4tched (Cinema),1:07,64,Bb,00:00:00
Crystal Castles,Amnesty (I),Kept,4:04,83,Dm,01:06:37
Groundislava,Flatline Single,Flatline ft. Erik Hassle,4:17,63,Bbm,05:08:63
Earl Sweatshirt,2016 Adult Swim Singles Program,Balance,1:18,103,C#,08:56:78
A$AP Mob,Cozy Tapes: Vol. 1 Friends,"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)",3:51,123,C#m,10:15:51
Zomby,Ultra,Glass,8:59,136,C#,14:05:78
clipping.,Wriggle,Wriggle,4:08,160,C#m,18:32:10
James Blake,The Color In Anything,Love Me In Whatever Way,5:04,63,G#m,22:31:90
The Weeknd,Starboy Single,Starboy (feat. Daft Punk),3:51,123,Am,27:34:68
Death Grips,Bottomless Pit,Eh,2:53,152,C,31:18:04
Run The Jewels,RTJ3,Legend Has It,3:26,123,Cm,34:08:30
Frank Ocean,Blonde,Nights,5:07,80,Eb,37:34:07
Danny Brown,Atrocity Exhibition,Pneumonia,3:40,136,Gm,42:39:13
How To Dress Well,Care,Time Was Meant to Stay,3:10,70,G,46:19:00
Sleigh Bells,Jessica Rabbit,It's Just Us Now,3:10,86,D,49:23:78
BADBADNOTGOOD,IV,Chompy's Paradise,3:52,117,C#,52:30:80
Travis Scott,Birds in the Trap Sing McKnight,Wonderful,3:37,143,C#m,56:14:84
Vince Staples,Prima Donna - EP,Prima Donna (feat A$AP Rocky),3:30,152,Fm,59:45:15
Samiyam,Animals Have Feelings,Lord Of The Rings (feat. Jeremiah Jae & Oliver The 2nd),3:01,76,Am,62:27:80
